# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
emitor	SUBST	N	N	N	KF	NLM	3	R	# PIV:emitoro
empetr	SUBST	N	N	N	KF	NLM	3	R	# PIV:empetro
empire	SUBST	N	N	N	KF	NLM	3	R	# PIV:empireo
empori	SUBST	N	N	N	KF	NLM	3	R	# PIV:emporio
emulsiantaĵ	SUBST	N	N	N	KF	NLM	3	R	# PIV:emulsiantaĵo
emulsiant	SUBST	N	N	N	KF	NLM	3	R	# PIV:emulsianto
emulsiaz	SUBST	N	N	N	KF	NLM	3	R	# PIV:emulsiazo
emulsiebl	SUBST	N	N	N	KF	NLM	3	R	# PIV:emulsieblo
emulsiil	SUBST	N	N	N	KF	NLM	3	R	# PIV:emulsiilo
emulsiin	SUBST	N	N	N	KF	NLM	3	R	# PIV:emulsiino
emulsioid	SUBST	N	N	N	KF	NLM	3	R	# PIV:emulsioido
enantiomorf	ADJ	N	N	N	KF	NLM	3	R	# PIV:enantiomorfa
enantiomorfec	SUBST	N	N	N	KF	NLM	3	R	# PIV:enantiomorfeco
enantiomorfism	SUBST	N	N	N	KF	NLM	3	R	# PIV:enantiomorfismo
enantiotrop	ADJ	N	N	N	KF	NLM	3	R	# PIV:enantiotropa
enantiotropec	SUBST	N	N	N	KF	NLM	3	R	# PIV:enantiotropeco
enantiotropism	SUBST	N	N	N	KF	NLM	3	R	# PIV:enantiotropismo
enantioz	SUBST	N	N	N	KF	NLM	3	R	# PIV:enantiozo
encefalalgi	SUBST	N	N	N	KF	NLM	3	R	# PIV:encefalalgio
encefalin	SUBST	N	N	N	KF	NLM	3	R	# PIV:encefalino
encefalografi	SUBST	N	N	N	KF	NLM	3	R	# PIV:encefalografio
endoderm	SUBST	N	N	N	KF	NLM	3	R	# PIV:endodermo
endogen	ADJ	N	N	N	KF	NLM	3	R	# PIV:endogena
endokrinologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:endokrinologio
endomorfi	SUBST	N	N	N	KF	NLM	3	R	# PIV:endomorfio
endorfin	SUBST	N	N	N	KF	NLM	3	R	# PIV:endorfino # OK
endoskopi	SUBST	N	N	N	KF	NLM	3	R	# PIV:endoskopio
endosperm	SUBST	N	N	N	KF	NLM	3	R	# PIV:endospermo
endoteli	SUBST	N	N	N	KF	NLM	3	R	# PIV:endotelio
engloj	SUBST	N	N	N	KF	NLM	3	R	# PIV:engloj
enkaŭstik	VERBO	N	X	N	KF	NLM	3	R	# PIV:enkaŭstiki
enkaŭstik	SUBST	N	N	N	KF	NLM	3	R	# PIV:enkaŭstiko
enklizaĵ	SUBST	N	N	N	KF	NLM	3	R	# PIV:enklizaĵo
enkliz	SUBST	N	N	N	KF	NLM	3	R	# PIV:enklizo
enolog	SUBST	N	N	N	KF	NLM	3	R	# PIV:enologo
enoteracoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:enoteracoj
ensiferoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:ensiferoj
enteleki	SUBST	N	N	N	KF	NLM	3	R	# PIV:entelekio
entel	SUBST	N	N	N	KF	NLM	3	R	# PIV:entelo
enteralgi	SUBST	N	N	N	KF	NLM	3	R	# PIV:enteralgio
enter	SUBST	N	N	N	KF	NLM	3	R	# PIV:entero
enterokinaz	SUBST	N	N	N	KF	NLM	3	R	# PIV:enterokinazo
enteropneŭstoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:enteropneŭstoj
entolom	SUBST	N	N	N	KF	NLM	3	R	# PIV:entolomo
entomoloĝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:entomoloĝo
entomostrakoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:entomostrakoj
enumeraci	SUBST	N	N	N	KF	NLM	3	R	# PIV:enumeracio
enzimologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:enzimologio
eol	ADJ	N	N	N	KF	NLM	3	R	# PIV:eola
eon	SUBST	N	N	N	KF	NLM	3	R	# PIV:eono
eonotem	SUBST	N	N	N	KF	NLM	3	R	# PIV:eonotemo
eost	SUBST	N	N	N	KF	NLM	3	R	# PIV:eosto
epakrid	SUBST	N	N	N	KF	NLM	3	R	# PIV:epakrido
epanortoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:epanortozo
epeirogenez	SUBST	N	N	N	KF	NLM	3	R	# PIV:epeirogenezo
epentez	SUBST	N	N	N	KF	NLM	3	R	# PIV:epentezo
eperlan	SUBST	N	N	N	KF	NLM	3	R	# PIV:eperlano
epicentr	SUBST	N	N	N	KF	NLM	3	R	# PIV:epicentro
epidendr	SUBST	N	N	N	KF	NLM	3	R	# PIV:epidendro
epididim	SUBST	N	N	N	KF	NLM	3	R	# PIV:epididimo
epifenomen	SUBST	N	N	N	KF	NLM	3	R	# PIV:epifenomeno
epifit	SUBST	N	N	N	KF	NLM	3	R	# PIV:epifito
epifizit	SUBST	N	N	N	KF	NLM	3	R	# PIV:epifizito
epifonem	SUBST	N	N	N	KF	NLM	3	R	# PIV:epifonemo
epigenez	ADJ	N	N	N	KF	NLM	3	R	# PIV:epigeneza
epigenez	SUBST	N	N	N	KF	NLM	3	R	# PIV:epigenezo
epik	ADJ	N	N	N	KF	NLM	3	R	# PIV:epika
epikant	SUBST	N	N	N	KF	NLM	3	R	# PIV:epikanto
epik	SUBST	N	N	N	KF	NLM	3	R	# PIV:epiko
epikondil	SUBST	N	N	N	KF	NLM	3	R	# PIV:epikondilo
epiloĝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:epiloĝo
epimorfi	SUBST	N	N	N	KF	NLM	3	R	# PIV:epimorfio
epinefrin	SUBST	N	N	N	KF	NLM	3	R	# PIV:epinefrino
epipaktid	SUBST	N	N	N	KF	NLM	3	R	# PIV:epipaktido
epipaleolitik	SUBST	N	N	N	KF	NLM	3	R	# PIV:epipaleolitiko
epiplo	SUBST	N	N	N	KF	NLM	3	R	# PIV:epiploo
epirogenez	ADJ	N	N	N	KF	NLM	3	R	# PIV:epirogeneza
epirogenez	SUBST	N	N	N	KF	NLM	3	R	# PIV:epirogenezo
episom	SUBST	N	N	N	KF	NLM	3	R	# PIV:episomo
epispastik	ADJ	N	N	N	KF	NLM	3	R	# PIV:epispastika
epistaks	SUBST	N	N	N	KF	NLM	3	R	# PIV:epistakso
epistat	ADJ	N	N	N	KF	NLM	3	R	# PIV:epistata
epistemologi	SUBST	N	N	N	KF	NLM	3	R	# PIV:epistemologio
epitaksi	SUBST	N	N	N	KF	NLM	3	R	# PIV:epitaksio
epitalam	SUBST	N	N	N	KF	NLM	3	R	# PIV:epitalamo
epiteliom	SUBST	N	N	N	KF	NLM	3	R	# PIV:epiteliomo
epod	SUBST	N	N	N	KF	NLM	3	R	# PIV:epodo
epoksi	SUBST	N	N	N	KF	NLM	3	R	# PIV:epoksio
epsilon	SUBST	N	N	N	KF	NLM	3	R	# PIV:epsilono
epulis	SUBST	N	N	N	KF	NLM	3	R	# PIV:epuliso
erarec	SUBST	N	N	N	KF	NLM	3	R	# PIV:erareco
eratik	ADJ	N	N	N	KF	NLM	3	R	# PIV:eratika
eratum	SUBST	N	N	N	KF	NLM	3	R	# PIV:eratumo
erepsin	SUBST	N	N	N	KF	NLM	3	R	# PIV:erepsino
ereti	SUBST	N	N	N	KF	NLM	3	R	# PIV:eretio
eretism	SUBST	N	N	N	KF	NLM	3	R	# PIV:eretismo
