ang^elus	SUBST	RELIGIO	anĝeluso	N	KF	NLM	3	P	# OK 宗教: み告げの祈り [PEJVO]
angil	SUBST	FISXO	angilo	N	KF	NLM	2	P	# OK 魚: ウナギ [PEJVO基本語]
angstrom	SUBST	N	angstromo	N	KF	NLM	4	P	# OK 物理: オングストローム [PEJVO]
anhidr	ADJ	N	anhidra	N	KF	NLM	3	P	# OK 化学: 無水の [PEJVO]
anilin	SUBST	KEMIAJXO	anilino	N	KF	NLM	3	P	# OK 化学: アニリン [PEJVO一般語]
ankiloz	SUBST	MALSANO	ankilozo	N	KF	NLM	4	P	# OK 医学: 関節強直 [PEJVO]
ankr	SUBST	ILO	ankro	N	KF	NLM	3	P	# OK 道具: 錨 [PEJVO一般語]
anod	SUBST	N	anodo	N	KF	NLM	3	P	# OK 物理: 陽極 [PEJVO]
anomali	SUBST	N	anomalio	N	KF	NLM	3	P	# OK 名詞: 異例、変則 [PEJVO一般語]
anonim	ADJ	N	anonima	N	KF	NLM	3	P	# OK 形容詞: 匿名の [PEJVO一般語]
anorak	SUBST	VESTAJXO	anorako	N	KF	NLM	3	P	# OK 衣服: アノラック [PEJVO]
ans	SUBST	ILO	anso	N	KF	NLM	3	P	# OK 道具: 取っ手 [PEJVO]
