boleto	SUBST	FUNGO	boleto	N	KF	NLM	4	P	# OK 菌類: イグチ（キノコ） [PEJVO専門語]
bosni	SUBST	N	bosniano	N	KF	NLM	3	P	# OK 地理: ボスニア人 [PEJVO一般語]
boson	SUBST	SCIENCO	bosono	N	KF	NLM	4	P	# OK 科学: ボソン、ボース粒子 [PEJVO専門語]
boston	SUBST	MUZIKO	bostono	N	KF	NLM	3	P	# OK 音楽: ボストンワルツ [PEJVO一般語]
braman	SUBST	RELIGIO	bramano	N	KF	NLM	3	P	# OK 宗教: バラモン [PEJVO一般語]
branĉ	ADJ	N	branĉa	N	KF	NLM	3	P	# OK 形容詞: 枝の [PEJVO一般語, PIV2020]
brazil	ADJ	N	brazila	N	KF	NLM	2	P	# OK 地理: ブラジルの [PEJVO基本語]
brazilj	ADJ	N	brazilja	N	KF	NLM	3	P	# OK 地理: ブラジリアの [PEJVO一般語]
briofit	SUBST	PLANTO	briofitoj	N	KF	NLM	4	P	# OK 植物: コケ植物、蘚苔類 [PEJVO専門語]
bromid	SUBST	KEMIAJXO	bromido	N	KF	NLM	4	P	# OK 化学: 臭化物 [PEJVO専門語]
bronkit	SUBST	MALSANO	bronkito	N	KF	NLM	3	P	# OK 医学: 気管支炎 [PEJVO一般語]
brontosaŭr	SUBST	N	brontosaŭro	N	KF	NLM	4	P	# OK 古生物: ブロントサウルス [PEJVO専門語, PIV2020]
