# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
bos	VERBO	N	T	N	KF	NLM	4	R	# PIV:bosi (to emboss) # OK
bos	SUBST	N	N	N	KF	NLM	4	R	# PIV:boso (boss, embossed work) # OK
bostrik	SUBST	INSEKTO	N	N	KF	NLM	4	R	# PIV:bostriko (bark beetle genus Bostrichus) # OK
bosveli	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:bosvelio (frankincense tree genus Boswellia) # OK
botarg	SUBST	N	N	N	KF	NLM	4	R	# PIV:botargo (bottarga: fish roe product) # OK
botrit	SUBST	N	N	N	KF	NLM	4	R	# PIV:botrito (Botrytis: fungal genus) # OK
boved	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:bovedoj (cattle family Bovidae)
boviste	SUBST	N	N	N	KF	NLM	4	R	# PIV:bovisteo (puffball fungus genus Bovista) # OK
bradikardi	SUBST	MALSANO	N	N	KF	NLM	4	R	# PIV:bradikardio (bradycardia: slow heart rate) # OK
bradiped	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:bradipedoj (sloth family Bradypodidae)
bradipepsi	SUBST	MALSANO	N	N	KF	NLM	4	R	# PIV:bradipepsio (bradypepsia: slow digestion) # OK
brakin	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:brakino (bracken fern) # OK
brakiopod	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:brakiopodoj (brachiopod phylum)
brankiopod	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:brankiopodoj (branchiopod class)
brankiostom	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:brankiostomo (lancelet genus Branchiostoma) # OK
branĉid	SUBST	N	N	N	KF	NLM	4	R	# PIV:branĉido (branchiid: family of crustaceans) # OK
braĉ	SUBST	N	N	N	KF	NLM	4	R	# PIV:braĉo (brach: hunting dog) # OK
braĥin	SUBST	INSEKTO	N	N	KF	NLM	4	R	# PIV:braĥino (bombardier beetle genus Brachinus) # OK
braĥiur	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:braĥiuro (brachyuran: true crab) # OK
bregm	SUBST	ANATOMIO	N	N	KF	NLM	4	R	# PIV:bregmo (bregma: skull landmark) # OK
bremŝ	SUBST	N	N	N	KF	NLM	4	R	# PIV:bremŝo (bremsstrahlung: radiation) # OK
brevet	SUBST	N	N	N	KF	NLM	4	R	# PIV:breveto (brevet: military rank certificate) # OK
brev	SUBST	N	N	N	KF	NLM	4	R	# PIV:brevo (breve: musical/phonetic symbol) # OK
brez	VERBO	N	T	N	KF	NLM	4	R	# PIV:brezi (to braise: cooking method) # OK
breĉi	SUBST	MINERALO	N	N	KF	NLM	4	R	# PIV:breĉio (breccia: sedimentary rock) # OK
brifit	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:brifitoj (moss class Bryophyta)
brikabrak	SUBST	N	N	N	KF	NLM	4	R	# PIV:brikabrako (bric-a-brac) # OK
bri	SUBST	N	N	N	KF	NLM	4	R	# PIV:brio (brie cheese) # OK
briopsid	SUBST	ALGO	N	N	KF	NLM	4	R	# PIV:briopsidoj (green algae order Bryopsidales)
briozoo	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:briozooj (bryozoan phylum)
brioĉ	SUBST	N	N	N	KF	NLM	4	R	# PIV:brioĉo (brioche: bread) # OK
brisur	SUBST	N	N	N	KF	NLM	4	R	# PIV:brisuro (heraldic mark of cadency) # OK
briton	ADJ	N	N	N	KF	NLM	4	R	# PIV:britona (Breton) # OK
brokatel	SUBST	N	N	N	KF	NLM	4	R	# PIV:brokatelo (brocatelle: fabric/marble) # OK
