bubal	SUBST	ANIMALO	bubalo	N	KF	NLM	3	P	# OK 動物: 水牛 [PEJVO一般語]
bud	SUBST	N	budo	N	KF	NLM	2	P	# OK 名詞: 仮小屋、ブース [PEJVO基本語]
bule	ADJ	N	bulea	KF	KF	NLM	4	P	# OK 形容詞: ブール代数の [PEJVO]
bulgar	ADJ	ETNO	bulgara	KF	KF	NLM	3	P	# OK 形容詞: ブルガリアの [PEJVO一般語]
buljon	SUBST	TRINKAJXO	buljono	N	KF	NLM	3	P	# OK 飲料: ブイヨン [PEJVO一般語]
buton	SUBST	N	butono	N	KF	NLM	2	P	# OK 名詞: ボタン [PEJVO基本語]
celsius	ADJ	N	celsiusa	KF	KF	NLM	3	P	# OK 形容詞: 摂氏の [PEJVO]
cement	SUBST	SXTOFO	cemento	N	KF	NLM	2	P	# OK 物質: セメント [PEJVO基本語]
cerber	SUBST	N	cerbero	N	KF	NLM	4	P	# OK 神話: ケルベロス [PEJVO]
ceter	ADJ	N	cetera	KF	KF	NLM	2	P	# OK 形容詞: 残りの、その他の [PEJVO基本語]
