# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
apercept	VERBO	N	X	N	KF	NLM	4	R	# PIV:apercepti # OK
apercept	SUBST	N	N	N	KF	NLM	4	R	# PIV:apercepto # OK
apetal	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:apetaloj (botany: without petals)
apetenc	SUBST	N	N	N	KF	NLM	4	R	# PIV:apetenco # OK
apiol	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# PIV:apiolo (chemical compound) # OK
apios	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:apioso (plant genus) # OK
aplit	SUBST	MINERALO	N	N	KF	NLM	4	R	# PIV:aplito (mineral) # OK
apocinac	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:apocinacoj (plant family Apocynaceae)
apocin	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:apocino (genus Apocynum) # OK
apodoform	ADJ	N	N	N	KF	NLM	4	R	# PIV:apodoformaj (apodiform: without feet)
apoloĝ	SUBST	N	N	N	KF	NLM	4	R	# PIV:apoloĝo (apologue: moral fable) # OK
apomiks	SUBST	N	N	N	KF	NLM	4	R	# PIV:apomikso (apomixis: asexual reproduction) # OK
aponeŭroz	SUBST	MALSANO	N	N	KF	NLM	4	R	# PIV:aponeŭrozo (aponeurosis) # OK
aposiopez	SUBST	GRAMATIKO	N	N	KF	NLM	4	R	# PIV:aposiopezo (rhetorical device: sudden silence) # OK
apoteci	SUBST	N	N	N	KF	NLM	4	R	# PIV:apotecio (apothecium: fungal structure) # OK
ardeed	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:ardeedoj (heron family Ardeidae)
arekac	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:arekacoj (palm family Arecaceae)
areknuks	SUBST	NUKSO	N	N	KF	NLM	4	R	# PIV:areknukso (areca nut) # OK
arek	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:areko (areca palm) # OK
arenari	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:arenario (sandwort: plant genus Arenaria) # OK
areol	ADJ	N	N	N	KF	NLM	4	R	# PIV:areola (areolar: relating to areola) # OK
areol	SUBST	ANATOMIO	N	N	KF	NLM	4	R	# PIV:areolo (areola: anatomical term) # OK
argani	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:arganio (argan tree) # OK
argemon	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:argemono (prickly poppy genus) # OK
argilpetr	SUBST	MINERALO	N	N	KF	NLM	4	R	# PIV:argilpetro (claystone) # OK
arginin	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# PIV:arginino (arginine: amino acid) # OK
argiop	SUBST	INSEKTO	N	N	KF	NLM	4	R	# PIV:argiopo (garden spider genus Argiope) # OK
argironet	SUBST	INSEKTO	N	N	KF	NLM	4	R	# PIV:argironeto (water spider Argyroneta) # OK
arid	ADJ	N	N	N	KF	NLM	4	R	# PIV:arida (arid, dry) # OK
aril	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:arilo (aril: seed covering) # OK
arin	SUBST	N	N	N	KF	NLM	4	R	# PIV:arino (arine: unclear, needs verification)
