# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
cirkonvalaci	SUBST	N	N	N	KF	NLM	4	R	# PIV:cirkonvalacio (circumvallation: fortification) # OK
cirkumflekŝ	SUBST	GRAMATIKO	N	N	KF	NLM	4	R	# PIV:cirkumflekŝo (circumflex: diacritic mark) # OK
cirsi	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:cirsio (thistle genus Cirsium) # OK
cistein	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# PIV:cisteino (cysteine: amino acid) # OK
cisticerk	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:cisticerko (cysticercus: larval tapeworm) # OK
cisticerkoz	SUBST	MALSANO	N	N	KF	NLM	4	R	# PIV:cisticerkozo (cysticercosis: parasitic disease) # OK
cistin	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# PIV:cistino (cystine: amino acid) # OK
cistocel	SUBST	MALSANO	N	N	KF	NLM	4	R	# PIV:cistocelo (cystocele: bladder prolapse) # OK
cistopterid	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:cistopterido (bladder fern genus Cystopteris) # OK
cistron	SUBST	N	N	N	KF	NLM	4	R	# PIV:cistrono (cistron: genetic unit) # OK
citin	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# PIV:citino (chitin: polysaccharide) # OK
citofilakt	SUBST	N	N	N	KF	NLM	4	R	# PIV:citofilakto (cytophylactic) # OK
citokinin	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# PIV:citokinino (cytokinin: plant hormone) # OK
citokrom	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# PIV:citokromo (cytochrome: protein) # OK
citologi	SUBST	SCIENCO	N	N	KF	NLM	4	R	# PIV:citologio (cytology: cell biology) # OK
citolog	SUBST	N	N	N	KF	NLM	4	R	# PIV:citologo (cytologist) # OK
citoskelet	SUBST	N	N	N	KF	NLM	4	R	# PIV:citoskeleto (cytoskeleton) # OK
citosol	SUBST	N	N	N	KF	NLM	4	R	# PIV:citosolo (cytosol: cell fluid) # OK
citotrop	ADJ	N	N	N	KF	NLM	4	R	# PIV:citotropa (cytotropic) # OK
citozin	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# PIV:citozino (cytosine: nucleobase) # OK
citoz	SUBST	N	N	N	KF	NLM	4	R	# PIV:citozo (cytosis) # OK
citral	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# PIV:citralo (citral: aldehyde) # OK
citrolin	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# PIV:citrolino (citrulline: amino acid) # OK
citronelal	SUBST	KEMIAJXO	N	N	KF	NLM	4	R	# PIV:citronelalo (citronellal: compound) # OK
citronel	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:citronelo (citronella grass) # OK
cium	VERBO	N	T	N	KF	NLM	4	R	# PIV:ciumi (to harass, persecute) # OK
civetikt	SUBST	N	N	N	KF	NLM	4	R	# PIV:civetikto (civet cat) # OK
cumec	ADJ	N	N	N	KF	NLM	4	R	# PIV:cumeca (Cuman: relating to Cumans) # OK
cum	SUBST	N	N	N	KF	NLM	4	R	# PIV:cumo (Cuman: Turkic people) # OK
dab	VERBO	N	T	N	KF	NLM	4	R	# PIV:dabi (to dub: add soundtrack) # OK
dabing	SUBST	N	N	N	KF	NLM	4	R	# PIV:dabingo (dubbing: audio process) # OK
dadaist	SUBST	N	N	N	KF	NLM	4	R	# PIV:dadaisto (dadaist: art movement follower) # OK
dagerotipi	SUBST	N	N	N	KF	NLM	4	R	# PIV:dagerotipio (daguerreotype: photography) # OK
dajmonism	SUBST	N	N	N	KF	NLM	4	R	# PIV:dajmonismo (daimonism: belief system) # OK
dajmon	SUBST	N	N	N	KF	NLM	4	R	# PIV:dajmono (daimon: spirit) # OK
dakrioadenit	SUBST	MALSANO	N	N	KF	NLM	4	R	# PIV:dakrioadenito (dacryoadenitis: tear gland inflammation) # OK
dakriocistit	SUBST	MALSANO	N	N	KF	NLM	4	R	# PIV:dakriocistito (dacryocystitis: tear sac inflammation) # OK
dakriocist	SUBST	ANATOMIO	N	N	KF	NLM	4	R	# PIV:dakriocisto (dacryocyst: tear sac) # OK
daktilis	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:daktiliso (cock's-foot grass genus Dactylis) # OK
daktiloskopi	SUBST	N	N	N	KF	NLM	4	R	# PIV:daktiloskopio (dactyloscopy: fingerprint analysis) # OK
dalbergi	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:dalbergio (rosewood genus Dalbergia) # OK
daltonul	SUBST	N	N	N	KF	NLM	4	R	# PIV:daltonulo (color-blind person) # OK
damar	SUBST	N	N	N	KF	NLM	4	R	# PIV:damaro (damar: tree resin) # OK
datenop	SUBST	N	N	N	KF	NLM	4	R	# PIV:datenopo (date palm shoot) # OK
davali	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:davalio (fern genus Davallia) # OK
daziped	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:dazipedoj (armadillo family Dasypodidae)
dazipoded	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:dazipodedoj (armadillo superfamily Dasypodoidea)
daŭfen	SUBST	N	N	N	KF	NLM	4	R	# PIV:daŭfeno (dauphin: French title) # OK
daŭk	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:daŭko (carrot genus Daucus) # OK
debil	ADJ	N	N	N	KF	NLM	4	R	# PIV:debila (debile, feeble) # OK
defens	VERBO	N	T	N	KF	NLM	4	R	# PIV:defensi (to defend) # OK
defet	VERBO	N	N	N	KF	NLM	4	R	# PIV:defeti (to be defeatist) # OK
defetist	SUBST	N	N	N	KF	NLM	4	R	# PIV:defetisto (defeatist) # OK
deikt	SUBST	GRAMATIKO	N	N	KF	NLM	4	R	# PIV:deikto (deixis: contextual reference) # OK
dej	SUBST	N	N	N	KF	NLM	4	R	# PIV:dejo (dey: Ottoman title) # OK
