haor	SUBST	ETNO	haoro	N	KF	NLM	4	R	# OK 民族: ハオール(バングラデシュ湿地の民)
hapaks	SUBST	N	hapakso	N	KF	NLM	4	R	# OK 言語学: ハパックス(一度だけ使用される語)
hapaled	SUBST	ANIMALO	hapaledo	N	KF	NLM	4	R	# OK 動物: マーモセット科(旧名)
haplografi	SUBST	N	haplografio	N	KF	NLM	4	R	# OK 言語学: 脱字誤記(重複文字の省略)
haploid	ADJ	N	haploida	N	KF	NLM	4	R	# OK 形容詞: 半数体の
haris	SUBST	N	hariso	N	KF	NLM	4	R	# OK 料理: ハリッサ(北アフリカの香辛料)
harmoniz	VERBO	N	harmonizi	N	KF	NLM	4	R	# OK 動詞: 和声をつける
harnes	SUBST	N	harneso	N	KF	NLM	4	R	# OK 織物: 綜絖装置(織機の部品)
harpagofit	SUBST	PLANTO	harpagofito	N	KF	NLM	4	R	# OK 植物: デビルズクロー(薬用植物)
haruspeks	SUBST	PROFESIO	haruspekso	N	KF	NLM	4	R	# OK 歴史: 占い師(古代ローマ)
haspelaĵ	SUBST	N	haspelaĵo	N	KF	NLM	4	R	# OK 織物: 糸巻き、かせ
haspel	VERBO	N	haspeli	N	KF	NLM	4	R	# OK 動詞: 糸を巻く
hat	VERBO	N	hati	N	KF	NLM	4	R	# OK 動詞: 憎む(archaic)
haĉek	SUBST	N	haĉeko	N	KF	NLM	4	R	# OK 文字: ハーチェク記号(ˇ)
haŝi	SUBST	N	haŝio	N	KF	NLM	4	R	# OK 薬物: ハシシ、大麻樹脂
haŭser	SUBST	N	haŭsero	N	KF	NLM	4	R	# OK 船舶: 太い索、ホーサー
haŭsier	SUBST	PROFESIO	haŭsiero	N	KF	NLM	4	R	# OK 経済: 強気相場師、買い方
haŭs	SUBST	N	haŭso	N	KF	NLM	4	R	# OK 経済: 好況、景気上昇
haŭstori	SUBST	ANATOMIO	haŭstorio	N	KF	NLM	4	R	# OK 植物解剖学: 吸器(寄生植物の)
hebefreni	SUBST	MALSANO	hebefrenio	N	KF	NLM	4	R	# OK 医学: 破瓜型統合失調症
hebet	ADJ	N	hebeta	N	KF	NLM	4	R	# OK 形容詞: 鈍い、愚鈍な
hebetec	SUBST	N	hebeteco	N	KF	NLM	4	R	# OK 名詞: 鈍さ、愚鈍
hebreist	SUBST	PROFESIO	hebreisto	N	KF	NLM	4	R	# OK 職業: ヘブライ語学者
